episode	date	title
E0022	2018-01-12	Trump’s Personal Attorney’s Office Raided
E0023	2018-01-13	Scott Critiques the Zuckerberg Testimony in Real Time
E0024	2018-01-14	The Tweet War With Russia
E0025	2018-01-15	North Korea Walkouts and Presidential Tweets
E0026	2018-01-16	Kanye Showed the Way to The Golden Age
E0027	2018-01-17	BREAKING： Presidential Spelling Errors Doom Humanity Featuring Coffee and Dale
E0028	2018-01-18	Is Having a Strange Day
E0029	2018-01-19	Scott Clears Away the Fog of Fake News About Himself Using Nothing But Words and Coffee
E0030	2018-01-20	Scott Shows You Some Fake News About Himself from Business Insider (short)
E0031	2018-01-21	Joel Pollack Explains the Iranian Nuke Deal
E0032	2018-01-22	That Big Rip in Reality You Just Saw From President Trump and Kanye
E0033	2018-01-23	Hate versus Ideas and the Illusion Driving Hate
E0034	2018-01-24	Why Kanye and John Legend Are Watching Different Movies
E0035	2018-01-25	How Dale Feels About North Korea Good News
E0036	2018-01-26	How Chris Hayes escaped the TDS prison...For now
E0037	2018-01-27	North Korea is the Key to the Golden Age
E0038	2018-01-28	Kanye’s Desalination Tweet
E0039	2018-01-29	Tasteless Jokes and Iran
E0040	2018-01-30	Netanyahu’s Presentation of Iran’s Nuclear Program
E0041	2018-01-31	How to Fund the Wall and sorting out Iran
E0042	2018-02-01	DMZ idea for Korean Talks
E0043	2018-02-02	How to Not Make Slavery Analogies
E0044	2018-02-03	Kanye’s Message is Powerful and Dangerous in a Good Way
E0045	2018-02-04	Watching MSNBC as a Comedy About People Who Don’t Understand Things
E0046	2018-02-05	Surging Black Support for President Trump and Tomi Lauren
E0047	2018-02-06	Why President Trump Deserves Credit for Progress in North Korea
E0048	2018-02-07	Trump’s Brand Helps Him in an Unexpected Way
E0049	2018-02-08	The Worst Advice Ever Given
E0050	2018-02-09	Was Live
E0051	2018-02-10	Scott Talks with Naval Ravikant, No Politics
E0052	2018-02-11	When Lying Matters and When it Does Not
E0053	2018-02-12	Scott Sees the Future with Elon Musk’s Help
E0054	2018-02-13	President Trump’s Iran Deal Announcement
E0055	2018-02-14	Structural Racism Plus Iran
E0056	2018-02-15	New CNN Midterm Election Poll
E0057	2018-02-16	CNN Coverage of North Korea, Israel’s War with Iran
E0060	2018-02-19	Ego and Morality
E0061	2018-02-20	Black Lives Matter GNY Leader Hawk Newsome
E0062	2018-02-21	Khomenie Reads Fire and Fury： What’s that mean？
E0063	2018-02-22	Scott Explains How Jokes Work Because Half the Country is Confused
E0064	2018-02-23	The Middle East is a Mental Problem, Not a Real Estate Problem
E0065	2018-02-24	Politics is an Insult Contest and Only One Player Knows the Rules
E0066	2018-02-25	The Mental Problem that is the Middle East
E0067	2018-02-26	North Korea Walks From Negotiating Table. Who Saw That Coming？
E0068	2018-02-27	Laurel, Yanny, Cillizza, Kim and Hamas
E0069	2018-02-28	How to Guide a Victim out of Trump Derangement Syndrome (TDS)
E0070	2018-03-01	Guns, Video Games, Babies and Other Disturbing Topics
E0071	2018-03-02	How to Spot Cognitive Dissonance in the Media
E0072	2018-03-03	Causes of School Shootings, Terrorism, Fake News, Plus Hypnotism
E0073	2018-03-04	Cancelling North Korea Summit, Collusion Sequel and Brennan
E0074	2018-03-05	A Lesson in Positive Persuasion and Strategy
E0075	2018-03-06	“Obstructing Justice” is thinking past the sale, plus Iran and North Korea
E0076	2018-03-07	SPYGATE, Iran and MS-13
E0077	2018-03-08	North Korea Walk-Away and SPYGATE
E0078	2018-03-09	Scott and Dale Talk About CNN’s Worst Day Ever
E0079	2018-03-10	North Korea and Unusually Delicious Coffee
E0080	2018-03-11	North Korea, ZTE and What’s Next
E0081	2018-03-12	How to Spot Cognitive Dissonance
E0082	2018-03-13	Using Persuasion to Prevent Police From Beating Your Ass
E0083	2018-03-14	“Word Salad” tell for Cognitive Dissonance on CNN Today
E0084	2018-03-15	The New Democrat LKS for Trump
E0085	2018-03-16	The Party of Hate
E0086	2018-03-17	Portal to Hell in my Twitter Feed and Roseanne
E0087	2018-03-18	Roseanne’s Ambien Defense
E0088	2018-03-19	Donovan Loomis in South Korea
E0089	2018-03-20	Compare the “Racist Dog Whistle” Filter to “If All You Have is a Hammer”
E0090	2018-03-21	Introducing The Summer of Love 2018
E0091	2018-03-22	Bill Pulte, Founder of Blight Authority, Solutions for Urban Decay⧸Crime
E0092	2018-03-23	How to End Racism
E0093	2018-03-24	Bad Pattern Recognition
E0094	2018-03-25	What’s Dividing the Country and the Placebo Effect
E0095	2018-03-26	What Scott Would do About Iran
E0096	2018-03-27	All the Fun News While Sipping Coffee in Wrong Time Zone
E0097	2018-03-28	The Upside of Fatalism
E0098	2018-03-29	Israel offer to Iran, How Meek and Mild Will Inherit Canada
E0099	2018-03-30	Unfair Trade and Bad News Coverage While Drinking Tiny European Coffee
E0100	2018-03-31	Singapore Summit Progress
E0101	2018-04-01	Video That President Trump Shared With Chairman Kim, Wow
E0102	2018-04-02	Who Won the Singapore Summit
E0103	2018-04-03	WAKE UP, PUNCHY
E0104	2018-04-04	Propaganda videos, Peace with NK and racism
