episode_id	episode_dir	run_dir	status	missing	empty	bad_json	bad_vtt	notes
E0022-20180112	data/episodes/E0022-20180112	data/episodes/E0022-20180112/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0023-20180113	data/episodes/E0023-20180113	data/episodes/E0023-20180113/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0024-20180114	data/episodes/E0024-20180114	data/episodes/E0024-20180114/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0025-20180115	data/episodes/E0025-20180115	data/episodes/E0025-20180115/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0026-20180116	data/episodes/E0026-20180116	data/episodes/E0026-20180116/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0027-20180117	data/episodes/E0027-20180117	data/episodes/E0027-20180117/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0028-20180118	data/episodes/E0028-20180118	data/episodes/E0028-20180118/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0029-20180119	data/episodes/E0029-20180119	data/episodes/E0029-20180119/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0030-20180120	data/episodes/E0030-20180120	data/episodes/E0030-20180120/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0031-20180121	data/episodes/E0031-20180121	data/episodes/E0031-20180121/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0032-20180122	data/episodes/E0032-20180122	data/episodes/E0032-20180122/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0033-20180123	data/episodes/E0033-20180123	data/episodes/E0033-20180123/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0034-20180124	data/episodes/E0034-20180124	data/episodes/E0034-20180124/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0035-20180125	data/episodes/E0035-20180125	data/episodes/E0035-20180125/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0036-20180126	data/episodes/E0036-20180126	data/episodes/E0036-20180126/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0037-20180127	data/episodes/E0037-20180127	data/episodes/E0037-20180127/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0038-20180128	data/episodes/E0038-20180128	data/episodes/E0038-20180128/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0039-20180129	data/episodes/E0039-20180129	data/episodes/E0039-20180129/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0040-20180130	data/episodes/E0040-20180130	data/episodes/E0040-20180130/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0041-20180131	data/episodes/E0041-20180131	data/episodes/E0041-20180131/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0042-20180201	data/episodes/E0042-20180201	data/episodes/E0042-20180201/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0043-20180202	data/episodes/E0043-20180202	data/episodes/E0043-20180202/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0044-20180203	data/episodes/E0044-20180203	data/episodes/E0044-20180203/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0045-20180204	data/episodes/E0045-20180204	data/episodes/E0045-20180204/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0046-20180205	data/episodes/E0046-20180205	data/episodes/E0046-20180205/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0047-20180206	data/episodes/E0047-20180206	data/episodes/E0047-20180206/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0048-20180207	data/episodes/E0048-20180207	data/episodes/E0048-20180207/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0049-20180208	data/episodes/E0049-20180208	data/episodes/E0049-20180208/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0050-20180209	data/episodes/E0050-20180209	data/episodes/E0050-20180209/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0051-20180210	data/episodes/E0051-20180210	data/episodes/E0051-20180210/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0052-20180211	data/episodes/E0052-20180211	data/episodes/E0052-20180211/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0053-20180212	data/episodes/E0053-20180212	data/episodes/E0053-20180212/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0054-20180213	data/episodes/E0054-20180213	data/episodes/E0054-20180213/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0055-20180214	data/episodes/E0055-20180214	data/episodes/E0055-20180214/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0056-20180215	data/episodes/E0056-20180215	data/episodes/E0056-20180215/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0057-20180216	data/episodes/E0057-20180216	data/episodes/E0057-20180216/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0060-20180219	data/episodes/E0060-20180219	data/episodes/E0060-20180219/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0061-20180220	data/episodes/E0061-20180220	data/episodes/E0061-20180220/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0062-20180221	data/episodes/E0062-20180221	data/episodes/E0062-20180221/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0063-20180222	data/episodes/E0063-20180222	data/episodes/E0063-20180222/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0064-20180223	data/episodes/E0064-20180223	data/episodes/E0064-20180223/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0065-20180224	data/episodes/E0065-20180224	data/episodes/E0065-20180224/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0066-20180225	data/episodes/E0066-20180225	data/episodes/E0066-20180225/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0067-20180226	data/episodes/E0067-20180226	data/episodes/E0067-20180226/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0068-20180227	data/episodes/E0068-20180227	data/episodes/E0068-20180227/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0069-20180228	data/episodes/E0069-20180228	data/episodes/E0069-20180228/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0070-20180301	data/episodes/E0070-20180301	data/episodes/E0070-20180301/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0071-20180302	data/episodes/E0071-20180302	data/episodes/E0071-20180302/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0072-20180303	data/episodes/E0072-20180303	data/episodes/E0072-20180303/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0073-20180304	data/episodes/E0073-20180304	data/episodes/E0073-20180304/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0074-20180305	data/episodes/E0074-20180305	data/episodes/E0074-20180305/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0075-20180306	data/episodes/E0075-20180306	data/episodes/E0075-20180306/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0076-20180307	data/episodes/E0076-20180307	data/episodes/E0076-20180307/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0077-20180308	data/episodes/E0077-20180308	data/episodes/E0077-20180308/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0078-20180309	data/episodes/E0078-20180309	data/episodes/E0078-20180309/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0079-20180310	data/episodes/E0079-20180310	data/episodes/E0079-20180310/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0080-20180311	data/episodes/E0080-20180311	data/episodes/E0080-20180311/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0081-20180312	data/episodes/E0081-20180312	data/episodes/E0081-20180312/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0082-20180313	data/episodes/E0082-20180313	data/episodes/E0082-20180313/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0083-20180314	data/episodes/E0083-20180314	data/episodes/E0083-20180314/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0084-20180315	data/episodes/E0084-20180315	data/episodes/E0084-20180315/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0085-20180316	data/episodes/E0085-20180316	data/episodes/E0085-20180316/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0086-20180317	data/episodes/E0086-20180317	data/episodes/E0086-20180317/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0087-20180318	data/episodes/E0087-20180318	data/episodes/E0087-20180318/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0088-20180319	data/episodes/E0088-20180319	data/episodes/E0088-20180319/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0089-20180320	data/episodes/E0089-20180320	data/episodes/E0089-20180320/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0090-20180321	data/episodes/E0090-20180321	data/episodes/E0090-20180321/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0091-20180322	data/episodes/E0091-20180322	data/episodes/E0091-20180322/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0092-20180323	data/episodes/E0092-20180323	data/episodes/E0092-20180323/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0093-20180324	data/episodes/E0093-20180324	data/episodes/E0093-20180324/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0094-20180325	data/episodes/E0094-20180325	data/episodes/E0094-20180325/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0095-20180326	data/episodes/E0095-20180326	data/episodes/E0095-20180326/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0096-20180327	data/episodes/E0096-20180327	data/episodes/E0096-20180327/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0097-20180328	data/episodes/E0097-20180328	data/episodes/E0097-20180328/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0098-20180329	data/episodes/E0098-20180329	data/episodes/E0098-20180329/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0099-20180330	data/episodes/E0099-20180330	data/episodes/E0099-20180330/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0100-20180331	data/episodes/E0100-20180331	data/episodes/E0100-20180331/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0101-20180401	data/episodes/E0101-20180401	data/episodes/E0101-20180401/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0102-20180402	data/episodes/E0102-20180402	data/episodes/E0102-20180402/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0103-20180403	data/episodes/E0103-20180403	data/episodes/E0103-20180403/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0104-20180404	data/episodes/E0104-20180404	data/episodes/E0104-20180404/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0105-20180405	data/episodes/E0105-20180405	data/episodes/E0105-20180405/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0106-20180406	data/episodes/E0106-20180406	data/episodes/E0106-20180406/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0107-20180407	data/episodes/E0107-20180407	data/episodes/E0107-20180407/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0108-20180408	data/episodes/E0108-20180408	data/episodes/E0108-20180408/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0109-20180409	data/episodes/E0109-20180409	data/episodes/E0109-20180409/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0110-20180410	data/episodes/E0110-20180410	data/episodes/E0110-20180410/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0111-20180411	data/episodes/E0111-20180411	data/episodes/E0111-20180411/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0112-20180412	data/episodes/E0112-20180412	data/episodes/E0112-20180412/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0113-20180413	data/episodes/E0113-20180413	data/episodes/E0113-20180413/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0114-20180414	data/episodes/E0114-20180414	data/episodes/E0114-20180414/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0115-20180415	data/episodes/E0115-20180415	data/episodes/E0115-20180415/whisper/fw-base	FAIL		(run.log | log/run.log)			
E0116-20180416	data/episodes/E0116-20180416	data/episodes/E0116-20180416/whisper/fw-base	FAIL		(run.log | log/run.log)			
